id,user_name,license,image_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
101654753,Gabriela Cartes,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/169786535/medium.jpg,-32.2410716667,-71.5200666667,Petorca,Valparaíso,Cistanthe grandiflora,Pata de guanaco
101754182,Rai,,https://static.inaturalist.org/photos/169973528/medium.jpeg,-32.9396839722,-71.5428619722,Valparaíso,Valparaíso,Cistanthe grandiflora,Pata de guanaco
101951168,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/170330919/medium.jpg,-32.2375409778,-71.5209233447,Petorca,Valparaíso,Cistanthe grandiflora,Pata de guanaco
101951217,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/170330995/medium.jpg,-32.2373957598,-71.5220391052,Petorca,Valparaíso,Cistanthe grandiflora,Pata de guanaco
102105618,Rai,,https://static.inaturalist.org/photos/170621102/medium.jpeg,-32.922504,-71.5202479722,Valparaíso,Valparaíso,Cistanthe grandiflora,Pata de guanaco
102378492,Juan Mauricio Contreras,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/171119825/medium.jpeg,-25.912648034,-70.6435402996,Antofagasta,Antofagasta,Cistanthe grandiflora,Pata de guanaco
102579019,Bastián Felipe Fuentes Valdés,,https://static.inaturalist.org/photos/171508112/medium.jpeg,-33.1268548734,-71.7201971189,Valparaíso,Valparaíso,Cistanthe grandiflora,Pata de guanaco
102657480,Alonso Sepúlveda Vega,,https://static.inaturalist.org/photos/171655156/medium.jpeg,-33.0355111111,-71.5359027778,Valparaíso,Valparaíso,Cistanthe grandiflora,Pata de guanaco
102739469,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/171805351/medium.jpg,-28.46487,-71.209,Huasco,Atacama,Cistanthe grandiflora,Pata de guanaco
102793440,Gladis María Demarchi,,https://static.inaturalist.org/photos/171909563/medium.jpeg,-32.9314002989,-71.5310211181,Valparaíso,Valparaíso,Cistanthe grandiflora,Pata de guanaco
102979448,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/172254919/medium.jpeg,-32.5226173401,-71.4748382568,Petorca,Valparaíso,Cistanthe grandiflora,Pata de guanaco
103053131,Camilo Poblete Bustos,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/172393466/medium.jpeg,-32.23926,-71.4976589722,Petorca,Valparaíso,Cistanthe grandiflora,Pata de guanaco
103538648,Gabriela Cartes,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/173313814/medium.jpg,-32.2408333333,-71.5204783333,Petorca,Valparaíso,Cistanthe grandiflora,Pata de guanaco
103580450,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/173393318/medium.jpeg,-33.3677539,-71.6901715,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
104213113,Malucha Subiabre,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/174599100/medium.jpeg,-32.9161226,-71.1281509,Quillota,Valparaíso,Cistanthe grandiflora,Pata de guanaco
104326647,Matías Badilla,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/174787235/medium.jpeg,-33.3538817,-70.2489214,Cordillera,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
105032787,Débora Schiappacasse,,https://inaturalist-open-data.s3.amazonaws.com/photos/176133188/medium.jpeg,-33.3096527,-71.6477365,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
105801847,Débora Schiappacasse,,https://inaturalist-open-data.s3.amazonaws.com/photos/177603968/medium.jpeg,-33.3096433333,-71.6477133333,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
105931949,Fernando Useros López,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/177849815/medium.jpeg,-33.3678550106,-71.6903689423,San Antonio,Valparaíso,Cistanthe grandiflora,Pata de guanaco
106131540,Eitel Carlos Thielemann Pinto,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/178231507/medium.jpg,-31.5088967,-71.1061412,Choapa,Coquimbo,Cistanthe grandiflora,Pata de guanaco
106314758,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/178571762/medium.jpg,-33.4134,-70.6202083333,Santiago,Región Metropolitana de Santiago,Cistanthe grandiflora,Pata de guanaco
106555362,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/179021766/medium.jpeg,-29.1105138889,-70.9219527778,Elqui,Coquimbo,Cistanthe grandiflora,Pata de guanaco
